Período;Região;Entidade;Localização Geográfica;Grupo Sanguíneo;Nº Total de Unidades de Sangue Colhidas;Nº Total de Unidades de Sangue Colhidas no Grupo Etário <25 anos
2021-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;B-;;
2021-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;Total;165;16
2021-06;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;AB+;12;1
2021-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;B+;;
2021-06;Região de Saúde Norte;Hospital de Braga, PPP;41.567781, -8.399268;B-;10;2
2021-07;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;A+;11;0
2021-08;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;B+;28;3
2021-08;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;AB-;1;0
2021-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;A+;114;10
2021-08;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;Total;;
2021-08;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;A+;136;21
2021-08;Região de Saúde Norte;Hospital de Braga, PPP;41.567781, -8.399268;Total;670;91
2021-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;B+;;
2021-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;AB+;;
2021-09;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;AB-;;
2021-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;A-;;
2021-09;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;A+;535;0
2021-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;AB-;;
2021-09;Região de Saúde LVT;Hospital de Cascais, PPP;;O-;;
2021-10;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;B-;;
2021-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;A-;;
2017-05;Entidade Central;Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758, -9.1505021;O+;3305;399
2017-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;AB+;3;0
2021-10;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;B+;;
2021-10;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967, -8.6318023;O+;;
2017-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;O-;15;4
2017-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;O+;123;13
2017-05;Região de Saúde do Algarve;Centro Hospitalar e Universitário do Algarve, EPE;37.0238973, -7.9281554;A-;;
2021-10;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;A+;;
2021-10;Região de Saúde LVT;Hospital de Loures, PPP;;A-;;
2021-10;Região de Saúde Norte;Hospital de Braga, PPP;41.567781, -8.399268;B+;28;4
2021-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;B+;2;0
2017-05;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;A+;;
2021-11;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;AB+;;
2017-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;41.3828711, -8.7589945;A-;;
2021-11;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;AB+;;
2017-06;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;O+;;
2017-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;AB-;;
2017-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;AB-;;
2017-07;Entidade Central;Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758, -9.1505021;O+;3071;292
2017-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;B+;;
2017-07;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;A-;;
2017-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;B+;;
2017-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;O+;199;13
2017-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;A+;76;1
2017-08;Região de Saúde do Algarve;Centro Hospitalar e Universitário do Algarve, EPE;37.0238973, -7.9281554;B+;;
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;A+;;
2017-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;Total;;
2017-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;AB-;;
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;A+;;
2017-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;A-;;
2017-08;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;AB-;;
2017-08;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;AB+;;
2017-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;A-;;
2017-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;A+;;
2017-08;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;O-;;
2017-08;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;Total;;
2017-08;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;O-;15;4
2017-08;Região de Saúde Norte;Centro Hospitalar entre Douro e Vouga, EPE;40.9293884, -8.5458794;A+;;
2017-08;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;O-;;
2017-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;AB+;;
2017-08;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565, -8.992398;O+;;
2017-08;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565, -8.992398;B+;;
2017-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;O-;34;1
2017-09;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;B+;;
2017-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;AB+;;
2017-09;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;O+;;
2017-09;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;AB+;;
2017-09;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;B-;9;1
2017-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;AB-;4;0
2017-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;O-;;
2017-10;Região de Saúde do Algarve;Centro Hospitalar e Universitário do Algarve, EPE;37.0238973, -7.9281554;A+;;
2017-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;AB+;;
2017-10;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;A+;;
2017-10;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;A-;;
2017-10;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;AB-;;
2017-10;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;O-;;
2017-10;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;B-;;
2017-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;A-;46;2
2017-10;Região de Saúde LVT;Hospital de Loures, PPP;38.821351, -9.176333;A+;;
2017-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;A-;5;0
2017-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;B-;1;0
2017-11;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;A-;;
2017-11;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;A-;;
2017-11;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;O+;;
2017-11;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;A+;;
2017-11;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;B-;;
2017-11;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;B-;;
2017-11;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967, -8.6318023;AB+;;
2017-11;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;Total;65;9
2017-11;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565, -8.992398;O-;;
2017-11;Região de Saúde LVT;Hospital de Cascais, PPP;38.728943, -9.418412;AB+;;
2017-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;Total;;
2017-12;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;A+;;
2017-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;A-;10;0
2018-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;O-;;
2018-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;AB+;;
2018-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;B+;33;3
2018-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.728943, -9.418412;A+;;
2018-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;Total;171;10
2018-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;O-;;
2018-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;AB+;;
2018-02;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;AB+;;
2018-02;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;AB+;1;0
2018-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;O-;;
2018-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;Total;;
2018-02;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;A+;;
2018-03;Entidade Central;Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758, -9.1505021;AB-;60;7
2018-03;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;O+;;
2018-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;A-;74;10
2018-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;B+;;
2018-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;AB-;;
2018-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;A-;125;16
2018-03;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;Total;;
2018-04;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;O-;;
2018-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;AB+;;
2018-04;Região de Saúde Norte;Centro Hospitalar entre Douro e Vouga, EPE;40.9293884, -8.5458794;A-;;
2018-04;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;41.3828711, -8.7589945;AB+;;
2018-04;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;AB-;;
2018-04;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;Total;629;114
2018-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;A-;36;5
2018-04;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565, -8.992398;AB+;;
2018-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;A-;3;0
2018-05;Região de Saúde do Algarve;Centro Hospitalar e Universitário do Algarve, EPE;37.0238973, -7.9281554;O+;;
2018-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;A-;;
2018-05;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;B-;;
2018-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;Total;;
2018-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;O-;;
2018-05;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;O+;94;8
2018-05;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;AB+;;
2018-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;AB+;;
2018-05;Região de Saúde Norte;Centro Hospitalar entre Douro e Vouga, EPE;40.9293884, -8.5458794;B+;;
2018-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;O-;;
2018-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;A-;47;5
2018-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642, -8.6062881;B+;30;2
2018-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;B+;;
2018-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;Total;64;1
2018-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;O-;12;1
2018-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;A-;7;0
2018-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;A+;;
2018-06;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;B-;;
2018-06;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;AB-;4;1
2018-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713, -9.1822554;O-;;
2018-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;B-;;
2018-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;A+;;
2018-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;B+;;
2018-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;AB-;3;1
2018-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812, -8.7982706;B+;;
2018-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;B+;;
2018-06;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;B+;93;10
2018-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;B-;;
2018-06;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173, -8.3086907;A+;;
2018-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;AB+;4;0
2018-06;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;Total;;
2018-06;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;A+;;
2018-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;AB-;0;0
2018-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;B-;;
2018-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;AB-;1;0
2018-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;O+;;
2018-07;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;O-;28;5
2018-07;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263, -7.4981271;O+;;
2018-07;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;O-;129;15
2018-07;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056, -8.6010558;A-;121;13
2018-07;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784, -7.7515252;B-;;
2018-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;Total;223;0
2018-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138, -8.5972617;O+;83;0
2018-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532, -6.7888197;A-;;
2018-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;O-;1;0
2018-08;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;Total;288;20
2018-08;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;A+;123;14
2018-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;A-;11;1
2018-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;B-;2;0
2018-08;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;Total;;
2018-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;O+;;
2018-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;A-;;
2018-08;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754, -8.8818638;O-;;
2018-08;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;AB-;1;0
2018-08;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158, -7.4922407;O-;;
2018-08;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;O+;;
2018-08;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897, -8.8586755;A+;;
2018-08;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;A-;;
2018-08;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;B-;;
2018-08;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;Total;;
2018-08;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561, -8.264901;O-;;
2018-08;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234, -8.6171561;AB+;;
2018-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456, -8.6745115;O+;;
2018-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821351, -9.176333;B-;;
2018-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973, -7.9281554;O-;;
2018-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;A-;;
2018-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;AB-;;
2018-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;AB+;;
2018-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;B-;;
2021-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;O+;;
2021-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;AB+;;
2021-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;O+;;2
2021-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984, -8.4802503;A+;;6
2023-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425, -7.4263845;B+;10;0
2023-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;A-;;
2023-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454, -9.216985;AB-;;
2023-01;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072, -8.5404429;Total;335;33
2023-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946, -8.6937515;AB-;;
2023-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;O+;;
2023-01;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;O-;;
2023-01;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;A-;;
2023-01;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;Total;;
2023-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;41.3828711, -8.7589945;O+;;
2023-02;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861, -9.1616116;A-;;
2023-02;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629, -9.1258493;O+;;
2023-02;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514, -8.4103814;O+;;
2023-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;A+;;
2013-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523, -8.4098211;Total;15919;1866
2014-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;Total;4831;468
2015-01;Região de Saúde Norte;Hospital de Braga, PPP;41.567781, -8.399268;Total;;
2015-01;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498, -8.6172617;Total;876;126
2015-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;Total;252;25
2015-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565, -8.992398;Total;141;13
2015-05;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948, -9.1371248;Total;699;68
2015-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;Total;358;62
2015-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;Total;383;44
2016-01;Entidade Central;Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758, -9.1505021;Total;15176;1649
2016-03;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;Total;236;21
2016-04;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;Total;502;470
2016-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;Total;421;36
2016-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861, -7.9032848;Total;351;335
2016-09;Entidade Central;Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758, -9.1505021;Total;14527;1670
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;A-;8;
2016-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;AB+;3;
2016-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005, -9.0592392;AB-;0;
2016-09;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054, -8.8252713;O-;;
2016-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257, -9.2264834;A-;23;
2016-10;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364, -8.0827433;O+;;
2016-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314, -8.6956768;A+;;
2016-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;B+;;
2016-11;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123, -7.8721227;AB-;;
2016-11;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768, -9.1634516;Total;;
2016-11;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453, -8.6543716;O-;;
2016-11;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916, -7.2734793;O-;;
2016-11;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;41.3828711, -8.7589945;Total;;
2016-11;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;41.3828711, -8.7589945;O+;;
